"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Widget,Widget,5,Dachshund
Dog,Stella Bo Bella,Stella,6.5,Mixed
Dog,Tilly,Tills,13,Chocolate Labrador Retriever
Dog,Peter Peter Pumpkin Eater,Petey,5,Pitbull
Dog,Remy,Rem,1,Mixed
Dog,Oreo,Oreo,7,Mixed
Dog,Ljus  (Swedish word for light),Ljus,0.2685078634445723,Golden Retriever
Dog,Bambi,Bambs,3,Mixed
Dog,Layla ‘The Tank’,Layla,3,Pitbull
Dog,Benny ,Ben,1,Mixed
Dog,Milo,Milo,7,Bichon Frise
Dog,Mocha,Mocha,3,Mixed
Dog,Shadow,Shadow,15,Golden Retriever
Dog,Luna,Luna,1,Great Pyrenees
Dog,Cody,"Baby, Pookie",13,Mixed
Dog,Oatmeal,Oatmeal,0.5833333333333334,Golden Retriever
Dog,Ginger,Nugget,10,Chihuahua
Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Dog,Mocha Antoinette,Mocha,7,Mixed
Dog,Oscar,Oscar,10,Mixed
Dog,Magnolia Mae,Noli,2.5,Great Pyrenees
Dog,George Cooper,Georgie,2,Golden Retriever
Dog,Cayenne,Cayenne,8,German Shepherd
Dog,Olive Oil,Olive,2,Australian Shepherd
Dog,Brook,Brookie,7,Golden Retriever
Dog,Sparkie,"Spark, Sparkie, sparkle",4,Mixed
Dog,Max,Maxie,16,Cairn Terrier
Dog,Howard,Howie,10,Mixed
Dog,Ella Fitzgerald,Ella,12,
Dog,Josephine Bakes,Josie,5,Mixed
Dog,Lennie,Lennie,2,Treeing Tennessee Brindle
Dog,Cody James,Buddy,1.5,Golden Retriever
Dog,Jake,Jake,2,Golden Retriever
Dog,Gail,Gail,3,Treeing Tennessee Brindle
Dog,Lucky,"Luck, Luckboy, Luck duck",3,Mixed
Dog,Darcy,Darcy,3,Cocker Spaniel
Dog,Luke Anakin,Luke,9,Golden Retriever
Dog,Sadie,Sadie Pot Pie,10,Mixed
Dog,Hazel Nut,Hazel,3,Australian Shepherd
Dog,Bourbon,Bourbon,3,Mixed
Dog,Riley,Smiley Riley,13,Golden Retriever
Dog,Mr. Nubs,Mr. Nubs,16,Corgi
Dog,Bentley,Bentley boy,3,Labradoodle
Dog,Fenway,Fenway,6,Boston Terrier
Dog,Benelli,Name,3,Black Labrador Retriever
Dog,Washington the Destroyer,Wash,6.5,Chocolate Labrador Retriever
Dog,Philomenos,"Philo, Phil, phi phi",9,Portuguese Water Dog
Dog,Stampy Wiggles,Stampy,10,Goldendoodle
Dog,Jasmine,Jaz,5,Golden Retriever
Dog,Emma,Puppy,1,Chocolate Labrador Retriever
Dog,Winston,Wintin,4,Mixed
Dog,Torchenay Be Cool,Max,13,Beagle
Dog,Brutus,Brutus,7,Yellow Labrador Retriever
Dog,Lucu,Puppy,7,Mixed
Dog,Mosephine,Mo,1,Poodle
Dog,Abegeweit,Abi (Abby),16,Mixed
Dog,Kramer,Kray Kray,12,Golden Retriever
Dog,Rusty,Wusty,5,Golden Retriever
Dog,Demi,"Dems, demi dog, the queen",6,Mixed
Dog,Alfredog,Alfie,11,Mixed
Dog,Shorty Do-Op,Shorty,15,Mixed
Dog,Penny,Penny,3,Australian Shepherd
Dog,Tuxedo,Tux,1.5,Miniature Schnauzer
Dog,Sally,Sally,7,Golden Retriever
Dog,Lola,Lola,6,Mixed
Dog,Gustav,Goober,10,German Shepherd
Dog,Poppy Sue Galushka Clementine,Poppy,4,Treeing Walker Coonhound
Dog,Duke,Duke,3,Australian Shepherd
Dog,Millie,Mills,7,Jack Russell Terrier
Dog,Sir Winston of Weston,"Winston , Winnie",10,Golden Retriever
Dog,Angus OgDog Dogga McDuff,Angus,13,West Highland White Terrier
Dog,Lady,Doofus,6,Mixed
Dog,Maggie Peaches,Maggie,13,Bichon Poodle
Dog,Camembert,Cami,5,Bernese Mountain Dog
Dog,Shadow,Shadow,3,Saluki
Dog,archer,archer,3,Golden Retriever
Dog,robbie,robz,1.5,Whippet
Dog,Roxy,Roxy,8,Pitbull
Dog,Ashton Sebastian,Ash,9,Pitbull
Dog,Maximum,Max,10,Puggle
Dog,Rosalind Pearl,Rosie,5,Border Collie
Dog,Chyna,Chyna,16,Mixed
Dog,Sadie,Sadie,4,Cockapoo
Dog,Flynn,Flynn,0.9166666666666666,Corgi
Dog,Loki,Loki,3,
Dog,Trixie,Trix,3,Mixed
Dog,Birdy,Birdy,4,Mixed
Dog,Vince,Vincie,11,Yellow Labrador Retriever
